主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180258,2018-12-28,W1,2018년도 국가연구개발사업 상위평가 보고서[추적평가],机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180258&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180260,2018-12-28,W1,국가연구개발 연구성과 관리 활용 실태조사,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180260&rpt_tp=831-004,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720190004,2018-12-31,W1,대학의 연구개발 관리 현황 분석 및 개선방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190004&rpt_tp=831-007,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-PRG0720190004,2018-12-31,W1,대학의 연구개발 관리 현황 분석 및 개선방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190004&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-PRG0720190005,2018-12-31,W1,혁신성장동력 신규분야 발굴을 위한 산업화 여건 분석 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190005&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180262,2019-01-04,W2,R&D 성과 관리 및 활용 정책의 조망과 효과 분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180262&rpt_tp=831-004,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190002,2019-01-04,W2,과학기술 분야 R&D 제도 혁신 기반 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190002&rpt_tp=831-001,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220190002,2019-01-04,W2,과학기술 분야 R&D 제도 혁신 기반 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190002&rpt_tp=831-001,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-RES0220190003,2019-01-08,W2,연구자의 아이디어 보호 및 활용에 관한 법제 개선 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190003&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180257,2019-01-09,W2,2018년 국가과학기술혁신역량평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180257&rpt_tp=831-001,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180257,2019-01-09,W2,2018년 국가과학기술혁신역량평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180257&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190006,2019-01-09,W2,감사 시스템 및 사례 분석을 통한 R&D 제도 개선에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190006&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180261,2019-01-10,W2,국가연구개발사업 간접비 제도 운영에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180261&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190009,2019-01-14,W2,2019년 KISTEP 미래유망기술 선정에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190009&rpt_tp=831-006,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220190009,2019-01-14,W2,2019년 KISTEP 미래유망기술 선정에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190009&rpt_tp=831-006,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220190012,2019-01-17,W2,2018년 과학기술분야 중장기계획 조사분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190012&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190013,2019-01-17,W2,텍스트 마이닝 분석을 활용한 예산배분조정 전략과 예산의 연계성에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190013&rpt_tp=831-005,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190014,2019-01-17,W2,제3회 과학기술예측조사 결과의 실현도 평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190014&rpt_tp=831-006,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220190014,2019-01-17,W2,제3회 과학기술예측조사 결과의 실현도 평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190014&rpt_tp=831-006,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220190015,2019-01-18,W2,2018년 민간혁신 스코어보드 구축 및 발간,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190015&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190017,2019-01-23,W2,2017년도 국가연구개발사업 성과분석 보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190017&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190018,2019-01-23,W2,국가연구개발사업 평가제도의 성과분석 및 고도화방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190018&rpt_tp=831-001,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220190007,2019-01-28,W2,과학기술기반 사회혁신지수 개발을 위한 기초연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190007&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190021,2019-01-28,W2,2018 지방과학기술연감,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190021&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220190021,2019-01-28,W2,2018 지방과학기술연감,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190021&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190022,2019-01-28,W2,국가연구개발사업 예비타당성조사 분석방법론 개선방향 탐색 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190022&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220190023,2019-01-28,W2,시스템/체계개발 유형사업에 대한 타당성조사 방법론 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190023&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220190025,2019-01-28,W2,정부 연구개발 실증사업의 현황 분석 및 투자 전략 수립에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190025&rpt_tp=831-005,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220190025,2019-01-28,W2,정부 연구개발 실증사업의 현황 분석 및 투자 전략 수립에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190025&rpt_tp=831-005,官方目录元数据，附件未列入本批
